FECHA;HORA;ACO;ATI;CAM;CHO;COY;CUA;FAC;IZT;LLA;LPR;MER;MON;NEZ;PED;SAG;SJA;SUR;TAH;TLA;TLI;TPN;UIZ;VIF;XAL
01/01/2011;19;-99;24;-99;-99;-99;-99;28;57;-99;-99;47;-99;-99;32;22;-99;54;-99;37;23;-99;57;14;31
01/01/2011;20;-99;27;-99;-99;-99;-99;38;55;-99;-99;38;-99;-99;22;27;-99;54;-99;37;23;-99;68;28;35
01/01/2011;21;-99;24;-99;-99;-99;-99;37;41;-99;-99;41;-99;-99;22;27;-99;31;-99;29;16;-99;61;25;35
01/01/2011;22;-99;20;-99;-99;-99;-99;32;37;-99;-99;34;-99;-99;28;27;-99;30;-99;27;20;-99;34;18;28
01/01/2011;23;-99;18;-99;-99;-99;-99;22;29;-99;-99;29;-99;-99;26;28;-99;31;-99;29;16;-99;23;18;26
01/01/2011;24;-99;12;-99;-99;-99;-99;23;30;-99;-99;31;-99;-99;27;21;-99;30;-99;24;26;-99;36;23;27
02/01/2011;1;-99;7;-99;-99;-99;-99;20;26;-99;-99;30;-99;-99;28;19;-99;28;-99;23;24;-99;33;24;35
02/01/2011;2;-99;6;-99;-99;-99;-99;18;27;-99;-99;30;-99;-99;23;22;-99;26;-99;22;23;-99;32;22;27
02/01/2011;3;-99;5;-99;-99;-99;-99;18;29;-99;-99;27;-99;-99;15;23;-99;26;-99;25;16;-99;31;21;30
02/01/2011;4;-99;6;-99;-99;-99;-99;23;28;-99;-99;28;-99;-99;14;21;-99;25;-99;26;11;-99;28;16;28
02/01/2011;5;-99;9;-99;-99;-99;-99;18;26;-99;-99;29;-99;-99;12;20;-99;24;-99;25;16;-99;25;18;25
02/01/2011;6;-99;13;-99;-99;-99;-99;19;26;-99;-99;29;-99;-99;10;20;-99;24;-99;23;25;-99;27;17;25
02/01/2011;7;-99;19;-99;-99;-99;-99;23;26;-99;-99;28;-99;-99;14;20;-99;24;-99;24;25;-99;28;18;25
02/01/2011;8;-99;23;-99;-99;-99;-99;25;26;-99;-99;30;-99;-99;15;18;-99;24;-99;26;24;-99;-99;18;32
02/01/2011;9;-99;23;-99;-99;-99;-99;26;26;-99;-99;38;-99;-99;18;19;-99;30;-99;24;32;-99;35;22;33
02/01/2011;10;-99;19;-99;-99;-99;-99;27;39;-99;-99;45;-99;-99;18;27;-99;30;-99;26;26;-99;32;25;52
02/01/2011;11;-99;19;-99;-99;-99;-99;22;31;-99;-99;40;-99;-99;18;29;-99;23;-99;32;15;-99;30;18;-99
02/01/2011;12;-99;10;-99;-99;-99;-99;20;30;-99;-99;33;-99;-99;23;15;-99;24;-99;23;11;-99;19;12;31
02/01/2011;13;-99;14;-99;-99;-99;-99;30;27;-99;-99;28;-99;-99;24;11;-99;23;-99;22;14;-99;19;8;19
02/01/2011;14;-99;19;-99;-99;-99;-99;26;22;-99;-99;22;-99;-99;26;12;-99;25;-99;28;16;-99;14;8;17
02/01/2011;15;-99;25;-99;-99;-99;-99;31;19;-99;-99;17;-99;-99;22;11;-99;17;-99;24;17;-99;15;11;14
02/01/2011;16;-99;17;-99;-99;-99;-99;28;15;-99;-99;16;-99;-99;10;13;-99;8;-99;16;13;-99;7;11;13
02/01/2011;17;-99;16;-99;-99;-99;-99;21;9;-99;-99;11;-99;-99;5;18;-99;6;-99;13;13;-99;4;14;15
02/01/2011;18;-99;22;-99;-99;-99;-99;24;14;-99;-99;18;-99;-99;7;20;-99;12;-99;13;13;-99;11;20;12
02/01/2011;19;-99;26;-99;-99;-99;-99;41;20;-99;-99;31;-99;-99;12;30;-99;21;-99;25;17;-99;24;14;21
02/01/2011;20;-99;29;-99;-99;-99;-99;20;26;-99;-99;34;-99;-99;15;36;-99;12;-99;31;23;-99;27;17;35
02/01/2011;21;-99;32;-99;-99;-99;-99;10;29;-99;-99;35;-99;-99;23;25;-99;26;-99;34;29;-99;34;17;37
02/01/2011;22;-99;18;-99;-99;-99;-99;10;24;-99;-99;30;-99;-99;33;22;-99;25;-99;24;33;-99;30;27;41
02/01/2011;23;-99;15;-99;-99;-99;-99;25;29;-99;-99;30;-99;-99;21;34;-99;35;-99;28;31;-99;33;27;40
02/01/2011;24;-99;27;-99;-99;-99;-99;34;31;-99;-99;37;-99;-99;21;32;-99;37;-99;31;33;-99;35;28;37
03/01/2011;1;-99;24;-99;-99;-99;-99;35;36;-99;-99;-99;-99;-99;13;29;-99;28;-99;-99;33;-99;35;31;38
03/01/2011;2;-99;22;-99;-99;-99;-99;27;34;-99;-99;-99;-99;-99;10;29;-99;32;-99;-99;32;-99;36;30;35
03/01/2011;3;-99;17;-99;-99;-99;-99;23;33;-99;-99;-99;-99;-99;10;28;-99;29;-99;-99;33;-99;34;27;31
03/01/2011;4;-99;19;-99;-99;-99;-99;22;31;-99;-99;37;-99;-99;11;27;-99;27;-99;29;33;-99;30;24;32
03/01/2011;5;-99;16;-99;-99;-99;-99;17;33;-99;-99;36;-99;-99;16;25;-99;27;-99;24;30;-99;29;23;32
03/01/2011;6;-99;25;-99;-99;-99;-99;24;33;-99;-99;37;-99;-99;23;24;-99;25;-99;30;29;-99;30;22;33
03/01/2011;7;-99;27;-99;-99;-99;-99;29;30;-99;-99;36;-99;-99;24;22;-99;27;-99;37;32;-99;32;20;32
03/01/2011;8;-99;28;-99;-99;-99;-99;30;29;-99;-99;47;-99;-99;25;25;-99;26;-99;35;33;-99;35;21;36
03/01/2011;9;-99;36;-99;-99;-99;-99;37;38;-99;-99;57;-99;-99;28;26;-99;31;-99;41;45;-99;39;28;45
03/01/2011;10;-99;50;-99;-99;-99;-99;45;45;-99;-99;68;-99;-99;32;33;-99;37;-99;53;60;-99;29;37;-99
03/01/2011;11;-99;39;-99;-99;-99;-99;81;76;-99;-99;68;-99;-99;33;-99;-99;32;-99;69;81;-99;35;41;34
03/01/2011;12;-99;44;-99;-99;-99;-99;65;32;-99;-99;58;-99;-99;25;-99;-99;29;-99;44;63;-99;31;58;32
03/01/2011;13;-99;17;-99;-99;-99;-99;35;26;-99;-99;-99;-99;-99;26;-99;-99;26;-99;23;26;-99;23;22;27
03/01/2011;14;-99;19;-99;-99;-99;-99;31;25;-99;-99;103;-99;-99;22;10;-99;15;-99;20;27;-99;14;11;21
03/01/2011;15;-99;23;-99;-99;-99;-99;36;21;-99;-99;27;-99;-99;16;11;-99;10;-99;22;18;-99;9;11;23
03/01/2011;16;-99;25;-99;-99;-99;-99;31;11;-99;-99;19;-99;-99;5;14;-99;8;-99;23;18;-99;8;16;19
03/01/2011;17;-99;18;-99;-99;-99;-99;18;18;-99;-99;16;-99;-99;10;17;-99;9;-99;20;16;-99;12;16;19
03/01/2011;18;-99;17;-99;-99;-99;-99;16;20;-99;-99;22;-99;-99;10;23;-99;12;-99;20;18;-99;14;20;26
03/01/2011;19;-99;22;-99;-99;-99;-99;22;32;-99;-99;27;-99;-99;17;32;-99;27;-99;28;22;-99;23;26;38
03/01/2011;20;-99;33;-99;-99;-99;-99;35;30;-99;-99;37;-99;-99;24;38;-99;29;-99;34;34;-99;32;30;42
03/01/2011;21;-99;29;-99;-99;-99;-99;37;40;-99;-99;50;-99;-99;35;48;-99;46;-99;38;45;-99;42;40;53
03/01/2011;22;-99;28;-99;-99;-99;-99;37;45;-99;-99;50;-99;-99;32;46;-99;47;-99;48;49;-99;46;42;56
03/01/2011;23;-99;26;-99;-99;-99;-99;34;45;-99;-99;52;-99;-99;27;43;-99;38;-99;38;43;-99;45;36;55
03/01/2011;24;-99;26;-99;-99;-99;-99;39;42;-99;-99;47;-99;-99;17;42;-99;35;-99;42;40;-99;46;33;52
04/01/2011;1;-99;18;-99;-99;-99;-99;37;39;-99;-99;45;-99;-99;13;38;-99;33;-99;43;44;-99;42;32;49
04/01/2011;2;-99;13;-99;-99;-99;-99;29;36;-99;-99;45;-99;-99;11;35;-99;32;-99;42;45;-99;40;31;41
04/01/2011;3;-99;17;-99;-99;-99;-99;34;34;-99;-99;45;-99;-99;10;32;-99;31;-99;41;47;-99;39;29;38
04/01/2011;4;-99;24;-99;-99;-99;-99;24;32;-99;-99;44;-99;-99;7;30;-99;30;-99;37;41;-99;33;28;36
04/01/2011;5;-99;24;-99;-99;-99;-99;24;31;-99;-99;43;-99;-99;21;29;-99;25;-99;34;37;-99;33;27;35
04/01/2011;6;-99;28;-99;-99;-99;-99;31;29;-99;-99;43;-99;-99;17;28;-99;26;-99;35;38;-99;32;26;34
04/01/2011;7;-99;31;-99;-99;-99;-99;36;32;-99;-99;45;-99;-99;19;30;-99;25;-99;36;33;-99;34;24;35
04/01/2011;8;-99;37;-99;-99;-99;-99;36;38;-99;-99;45;-99;-99;34;33;-99;28;-99;40;33;-99;37;22;42
04/01/2011;9;-99;47;-99;-99;-99;-99;42;53;-99;-99;54;-99;-99;41;36;-99;34;-99;45;49;-99;52;27;55
04/01/2011;10;-99;43;-99;-99;-99;-99;66;79;-99;-99;70;-99;-99;66;43;-99;34;-99;64;67;-99;-99;32;66
04/01/2011;11;-99;44;-99;-99;-99;-99;86;78;-99;-99;78;-99;-99;61;45;-99;56;-99;87;69;-99;-99;38;-99
04/01/2011;12;-99;51;-99;-99;-99;-99;52;54;-99;-99;58;-99;-99;54;37;-99;77;-99;66;37;-99;-99;28;-99
04/01/2011;13;-99;37;-99;-99;-99;-99;62;32;-99;-99;39;-99;-99;64;25;-99;70;-99;69;30;-99;-99;20;-99
04/01/2011;14;-99;40;-99;-99;-99;-99;45;25;-99;-99;26;-99;-99;48;17;-99;31;-99;47;30;-99;-99;20;24
04/01/2011;15;-99;38;-99;-99;-99;-99;34;28;-99;-99;29;-99;-99;31;13;-99;29;-99;23;24;-99;-99;12;16
04/01/2011;16;-99;34;-99;-99;-99;-99;34;28;-99;-99;41;-99;-99;23;11;-99;22;-99;24;19;-99;-99;11;27
04/01/2011;17;-99;22;-99;-99;-99;-99;43;26;-99;-99;37;-99;-99;38;16;-99;23;-99;26;20;-99;22;12;44
04/01/2011;18;-99;39;-99;-99;-99;-99;84;52;-99;-99;52;-99;-99;59;21;-99;47;-99;49;30;-99;21;17;42
04/01/2011;19;-99;74;-99;-99;-99;-99;88;53;-99;-99;64;-99;-99;59;49;-99;44;-99;100;62;-99;30;31;71
04/01/2011;20;-99;38;-99;-99;-99;-99;65;63;-99;-99;68;-99;-99;47;45;-99;54;-99;59;33;-99;43;24;62
04/01/2011;21;-99;30;-99;-99;-99;-99;39;63;-99;-99;63;-99;-99;49;51;-99;64;-99;56;34;-99;66;24;61
04/01/2011;22;-99;33;-99;-99;-99;-99;23;53;-99;-99;62;-99;-99;39;51;-99;55;-99;50;45;-99;51;27;62
04/01/2011;23;-99;28;-99;-99;-99;-99;20;44;-99;-99;57;-99;-99;44;51;-99;45;-99;43;48;-99;56;36;55
04/01/2011;24;-99;22;-99;-99;-99;-99;32;46;-99;-99;57;-99;-99;29;50;-99;47;-99;48;51;-99;53;42;64
05/01/2011;1;-99;15;-99;-99;-99;-99;27;44;-99;-99;54;-99;-99;19;45;-99;40;-99;50;43;-99;53;40;60
05/01/2011;2;-99;17;-99;-99;-99;-99;22;46;-99;-99;52;-99;-99;12;44;-99;41;-99;48;17;-99;53;38;55
05/01/2011;3;-99;12;-99;-99;-99;-99;20;44;-99;-99;52;-99;-99;10;41;-99;39;-99;42;32;-99;53;37;51
05/01/2011;4;-99;13;-99;-99;-99;-99;19;40;-99;-99;53;-99;-99;7;37;-99;38;-99;33;43;-99;51;34;49
05/01/2011;5;-99;19;-99;-99;-99;-99;16;41;-99;-99;54;-99;-99;8;39;-99;35;-99;28;46;-99;52;30;49
05/01/2011;6;-99;35;-99;-99;-99;-99;34;42;-99;-99;53;-99;-99;36;39;-99;35;-99;38;40;-99;47;31;48
05/01/2011;7;-99;39;-99;-99;-99;-99;38;38;-99;-99;54;-99;-99;36;39;-99;34;-99;45;41;-99;47;28;58
05/01/2011;8;-99;41;-99;-99;-99;-99;39;40;-99;-99;60;-99;-99;41;38;-99;36;-99;47;45;-99;48;28;65
05/01/2011;9;-99;50;-99;-99;-99;-99;45;60;-99;-99;79;-99;-99;46;44;-99;40;-99;57;48;-99;47;29;59
05/01/2011;10;-99;54;-99;-99;-99;-99;70;93;-99;-99;84;-99;-99;49;61;-99;47;-99;74;62;-99;64;35;85
05/01/2011;11;-99;69;-99;-99;-99;-99;89;77;-99;-99;106;-99;-99;44;59;-99;42;-99;76;73;-99;65;41;84
05/01/2011;12;-99;70;-99;-99;-99;-99;84;47;-99;-99;99;-99;-99;36;51;-99;33;-99;111;61;-99;49;26;76
05/01/2011;13;-99;54;-99;-99;-99;-99;42;51;-99;-99;-99;-99;-99;25;-99;-99;23;-99;78;23;-99;54;13;73
05/01/2011;14;-99;21;-99;-99;-99;-99;60;31;-99;-99;38;-99;-99;27;20;-99;27;-99;51;13;-99;27;10;50
05/01/2011;15;-99;14;-99;-99;-99;-99;32;28;-99;-99;37;-99;-99;32;15;-99;22;-99;24;12;-99;18;9;45
05/01/2011;16;-99;13;-99;-99;-99;-99;20;27;-99;-99;37;-99;-99;36;14;-99;27;-99;20;9;-99;16;7;48
05/01/2011;17;-99;17;-99;-99;-99;-99;21;-99;-99;-99;36;-99;-99;29;17;-99;34;-99;18;9;-99;17;9;-99
05/01/2011;18;-99;25;-99;-99;-99;-99;32;33;-99;-99;44;-99;-99;33;25;-99;27;-99;28;17;-99;31;14;56
05/01/2011;19;-99;40;-99;-99;-99;-99;58;58;-99;-99;68;-99;-99;66;-99;-99;55;-99;52;36;-99;71;27;63
05/01/2011;20;-99;42;-99;-99;-99;-99;56;61;-99;-99;63;-99;-99;68;-99;-99;64;-99;69;52;-99;-99;36;71
05/01/2011;21;-99;54;-99;-99;-99;-99;66;53;-99;-99;40;-99;-99;65;32;-99;55;-99;53;27;-99;51;27;59
05/01/2011;22;-99;47;-99;-99;-99;-99;47;51;-99;-99;55;-99;-99;63;34;-99;58;-99;51;40;-99;52;30;59
05/01/2011;23;-99;35;-99;-99;-99;-99;31;56;-99;-99;58;-99;-99;57;33;-99;53;-99;50;43;-99;48;30;61
05/01/2011;24;-99;38;-99;-99;-99;-99;42;52;-99;-99;57;-99;-99;43;41;-99;48;-99;51;47;-99;58;37;59
06/01/2011;1;-99;30;-99;-99;-99;-99;35;48;-99;-99;56;-99;-99;29;46;-99;43;-99;50;48;-99;57;41;51
06/01/2011;2;-99;19;-99;-99;-99;-99;28;46;-99;-99;53;-99;-99;27;43;-99;41;-99;49;45;-99;54;39;50
06/01/2011;3;-99;9;-99;-99;-99;-99;43;45;-99;-99;50;-99;-99;13;39;-99;43;-99;39;47;-99;51;37;60
06/01/2011;4;-99;8;-99;-99;-99;-99;30;47;-99;-99;49;-99;-99;10;-99;-99;40;-99;36;59;-99;53;34;51
06/01/2011;5;-99;17;-99;-99;-99;-99;16;45;-99;-99;51;-99;-99;13;36;-99;40;-99;40;44;-99;47;33;49
06/01/2011;6;-99;32;-99;-99;-99;-99;31;44;-99;-99;50;-99;-99;17;38;-99;39;-99;42;39;-99;49;33;45
06/01/2011;7;-99;37;-99;-99;-99;-99;42;44;-99;-99;50;-99;-99;21;39;-99;36;-99;41;39;-99;53;31;54
06/01/2011;8;-99;40;-99;-99;-99;-99;38;47;-99;-99;59;-99;-99;30;38;-99;40;-99;43;41;-99;53;28;57
06/01/2011;9;-99;47;-99;-99;-99;-99;42;56;-99;-99;56;-99;-99;42;37;-99;43;-99;52;44;-99;55;31;61
06/01/2011;10;-99;51;-99;-99;-99;-99;62;77;-99;-99;65;-99;-99;36;43;-99;45;-99;52;60;-99;58;40;84
06/01/2011;11;-99;40;-99;-99;-99;-99;82;75;-99;-99;76;-99;-99;40;61;-99;42;-99;57;-99;-99;70;36;98
06/01/2011;12;-99;30;-99;-99;-99;-99;69;65;-99;-99;75;-99;-99;52;70;-99;43;-99;-99;-99;-99;68;23;100
06/01/2011;13;-99;34;-99;-99;-99;-99;43;53;-99;-99;66;-99;-99;37;48;-99;-99;-99;-99;-99;-99;49;19;81
06/01/2011;14;-99;25;-99;-99;-99;-99;41;36;-99;-99;57;-99;-99;34;14;-99;-99;-99;23;15;-99;22;12;40
06/01/2011;15;-99;16;-99;-99;-99;-99;28;48;-99;-99;52;-99;-99;30;16;-99;-99;-99;27;11;-99;28;9;44
06/01/2011;16;-99;15;-99;-99;-99;-99;21;41;-99;-99;36;-99;-99;23;16;-99;-99;-99;24;12;-99;24;9;52
06/01/2011;17;-99;18;-99;-99;-99;-99;26;24;-99;-99;30;-99;-99;22;15;-99;37;-99;28;11;-99;22;9;56
06/01/2011;18;-99;20;-99;-99;-99;-99;24;28;-99;-99;43;-99;-99;31;21;-99;33;-99;33;16;-99;22;10;61
06/01/2011;19;-99;29;-99;-99;-99;-99;40;46;-99;-99;55;-99;-99;52;36;-99;51;-99;51;38;-99;39;19;59
06/01/2011;20;-99;35;-99;-99;-99;-99;40;50;-99;-99;49;-99;-99;58;39;-99;59;-99;52;44;-99;43;30;55
06/01/2011;21;-99;32;-99;-99;-99;-99;40;42;-99;-99;39;-99;-99;54;36;-99;50;-99;48;30;-99;44;22;56
06/01/2011;22;-99;29;-99;-99;-99;-99;40;39;-99;-99;37;-99;-99;51;37;-99;54;-99;45;24;-99;45;30;54
06/01/2011;23;-99;28;-99;-99;-99;-99;43;42;-99;-99;45;-99;-99;41;40;-99;48;-99;47;38;-99;48;30;56
06/01/2011;24;-99;36;-99;-99;-99;-99;40;41;-99;-99;46;-99;-99;34;39;-99;47;-99;43;33;-99;48;30;52
07/01/2011;1;-99;29;-99;-99;-99;-99;34;43;-99;-99;48;-99;-99;26;37;-99;44;-99;39;36;-99;47;32;46
07/01/2011;2;-99;13;-99;-99;-99;-99;30;43;-99;-99;42;-99;-99;14;31;-99;44;-99;36;43;-99;41;29;43
07/01/2011;3;-99;9;-99;-99;-99;-99;18;36;-99;-99;39;-99;-99;13;28;-99;40;-99;32;44;-99;35;26;36
07/01/2011;4;-99;7;-99;-99;-99;-99;26;33;-99;-99;39;-99;-99;13;28;-99;41;-99;33;34;-99;34;25;35
07/01/2011;5;-99;22;-99;-99;-99;-99;23;32;-99;-99;38;-99;-99;7;27;-99;38;-99;33;32;-99;32;25;33
07/01/2011;6;-99;28;-99;-99;-99;-99;24;31;-99;-99;40;-99;-99;14;30;-99;37;-99;31;37;-99;33;22;40
07/01/2011;7;-99;29;-99;-99;-99;-99;32;33;-99;-99;45;-99;-99;22;31;-99;38;-99;32;32;-99;34;20;38
07/01/2011;8;-99;31;-99;-99;-99;-99;34;36;-99;-99;47;-99;-99;28;31;-99;39;-99;35;36;-99;38;20;43
07/01/2011;9;-99;40;-99;-99;-99;-99;38;51;-99;-99;61;-99;-99;41;33;-99;42;-99;55;42;-99;47;25;52
07/01/2011;10;-99;56;-99;-99;-99;-99;87;61;-99;-99;60;-99;-99;55;37;-99;45;-99;70;60;-99;52;34;66
07/01/2011;11;-99;67;-99;-99;-99;-99;136;-99;-99;-99;61;-99;-99;57;49;-99;48;-99;86;67;-99;81;43;87
07/01/2011;12;-99;36;-99;-99;-99;-99;60;-99;-99;-99;52;-99;-99;25;34;-99;42;-99;47;34;-99;68;33;69
07/01/2011;13;-99;18;-99;-99;-99;-99;24;-99;-99;-99;35;-99;-99;12;17;-99;26;-99;36;14;-99;32;11;46
07/01/2011;14;-99;16;-99;-99;-99;-99;27;-99;-99;-99;36;-99;-99;16;24;-99;22;-99;37;20;-99;22;8;48
07/01/2011;15;-99;10;-99;-99;-99;-99;27;-99;-99;-99;33;-99;-99;18;28;-99;19;-99;43;16;-99;21;6;68
07/01/2011;16;-99;11;-99;-99;-99;-99;31;34;-99;-99;43;-99;-99;23;27;-99;27;-99;27;16;-99;25;7;44
07/01/2011;17;-99;15;-99;-99;-99;-99;36;41;-99;-99;49;-99;-99;26;19;-99;34;-99;32;14;-99;30;7;54
07/01/2011;18;-99;27;-99;-99;-99;-99;45;52;-99;-99;46;-99;-99;31;28;-99;43;-99;39;19;-99;31;9;66
07/01/2011;19;-99;48;-99;-99;-99;-99;66;54;-99;-99;62;-99;-99;46;-99;-99;49;-99;68;49;-99;29;39;65
07/01/2011;20;-99;29;-99;-99;-99;-99;66;61;-99;-99;74;-99;-99;59;-99;-99;66;-99;54;58;-99;55;52;55
07/01/2011;21;-99;54;-99;-99;-99;-99;65;72;-99;-99;82;-99;-99;67;-99;-99;58;-99;85;70;-99;60;61;76
07/01/2011;22;-99;43;-99;-99;-99;-99;56;69;-99;-99;70;-99;-99;73;-99;-99;56;-99;85;70;-99;67;64;84
07/01/2011;23;-99;45;-99;-99;-99;-99;51;71;-99;-99;82;-99;-99;62;67;-99;55;-99;85;70;-99;67;60;83
07/01/2011;24;-99;48;-99;-99;-99;-99;47;69;-99;-99;77;-99;-99;62;65;-99;54;-99;74;61;-99;48;58;77
08/01/2011;1;-99;50;-99;-99;-99;-99;47;63;-99;-99;71;-99;-99;50;58;-99;64;-99;48;59;-99;40;51;77
08/01/2011;2;-99;53;-99;-99;-99;-99;40;59;-99;-99;69;-99;-99;30;56;-99;57;-99;47;60;-99;48;42;71
08/01/2011;3;-99;48;-99;-99;-99;-99;32;46;-99;-99;61;-99;-99;16;50;-99;63;-99;47;58;-99;45;37;65
08/01/2011;4;-99;40;-99;-99;-99;-99;34;47;-99;-99;57;-99;-99;22;44;-99;55;-99;44;53;-99;31;36;58
08/01/2011;5;-99;42;-99;-99;-99;-99;33;42;-99;-99;54;-99;-99;30;41;-99;50;-99;46;52;-99;39;35;56
08/01/2011;6;-99;40;-99;-99;-99;-99;36;43;-99;-99;52;-99;-99;20;42;-99;50;-99;40;43;-99;35;31;59
08/01/2011;7;-99;41;-99;-99;-99;-99;41;46;-99;-99;50;-99;-99;34;44;-99;48;-99;45;41;-99;52;33;63
08/01/2011;8;-99;41;-99;-99;-99;-99;43;49;-99;-99;63;-99;-99;41;45;-99;49;-99;57;41;-99;61;31;64
08/01/2011;9;-99;51;-99;-99;-99;-99;49;61;-99;-99;83;-99;-99;52;51;-99;57;-99;61;55;-99;57;38;76
08/01/2011;10;-99;69;-99;-99;-99;-99;64;99;-99;-99;103;-99;-99;52;65;-99;68;-99;80;68;-99;72;49;87
08/01/2011;11;-99;74;-99;-99;-99;-99;65;100;-99;-99;90;-99;-99;45;53;-99;68;-99;98;73;-99;58;58;69
08/01/2011;12;-99;88;-99;-99;-99;-99;78;79;-99;-99;82;-99;-99;35;-99;-99;63;-99;82;51;-99;61;41;57
08/01/2011;13;-99;56;-99;-99;-99;-99;74;44;-99;-99;40;-99;-99;29;20;-99;46;-99;50;36;-99;41;31;31
08/01/2011;14;-99;48;-99;-99;-99;-99;52;35;-99;-99;35;-99;-99;29;18;-99;29;-99;37;34;-99;23;28;22
08/01/2011;15;-99;27;-99;-99;-99;-99;32;23;-99;-99;27;-99;-99;17;-99;-99;15;-99;32;31;-99;13;20;24
08/01/2011;16;-99;15;-99;-99;-99;-99;18;22;-99;-99;33;-99;-99;12;-99;-99;-99;-99;18;21;-99;17;22;26
08/01/2011;17;-99;17;-99;-99;-99;-99;17;22;-99;-99;33;-99;-99;9;22;-99;13;-99;24;18;-99;15;19;25
08/01/2011;18;-99;14;-99;-99;-99;-99;17;22;-99;-99;33;-99;-99;9;24;-99;13;-99;22;23;-99;14;22;30
08/01/2011;19;-99;14;-99;-99;-99;-99;19;26;-99;-99;35;-99;-99;7;36;-99;16;-99;23;20;-99;19;19;30
08/01/2011;20;-99;21;-99;-99;-99;-99;21;23;-99;-99;33;-99;-99;6;44;-99;15;-99;24;32;-99;18;18;33
08/01/2011;21;-99;26;-99;-99;-99;-99;19;45;-99;-99;46;-99;-99;15;-99;-99;18;-99;25;18;-99;24;23;41
08/01/2011;22;-99;24;-99;-99;-99;-99;14;36;-99;-99;48;-99;-99;41;48;-99;30;-99;20;20;-99;19;27;59
08/01/2011;23;-99;30;-99;-99;-99;-99;22;45;-99;-99;53;-99;-99;43;-99;-99;53;-99;24;18;-99;16;29;55
08/01/2011;24;-99;45;-99;-99;-99;-99;12;59;-99;-99;60;-99;-99;50;-99;-99;30;-99;16;26;-99;13;41;53
09/01/2011;1;-99;43;-99;-99;-99;-99;16;55;-99;-99;56;-99;-99;49;-99;-99;20;-99;16;21;-99;6;33;51
09/01/2011;2;-99;38;-99;-99;-99;-99;12;13;-99;-99;56;-99;-99;48;-99;-99;27;-99;20;24;-99;5;44;32
09/01/2011;3;-99;23;-99;-99;-99;-99;8;10;-99;-99;46;-99;-99;32;22;-99;51;-99;45;23;-99;3;38;47
09/01/2011;4;-99;19;-99;-99;-99;-99;7;34;-99;-99;39;-99;-99;26;20;-99;45;-99;23;16;-99;3;36;49
09/01/2011;5;-99;11;-99;-99;-99;-99;6;28;-99;-99;45;-99;-99;34;36;-99;46;-99;14;12;-99;4;19;48
09/01/2011;6;-99;14;-99;-99;-99;-99;6;41;-99;-99;47;-99;-99;34;38;-99;45;-99;12;9;-99;8;8;44
09/01/2011;7;-99;23;-99;-99;-99;-99;9;40;-99;-99;45;-99;-99;26;39;-99;40;-99;19;16;-99;11;16;46
