FECHA;HORA;ACO;AJM;AJU;ATI;BJU;CAM;CCA;CHO;COY;CUA;CUT;FAC;GAM;HGM;INN;IZT;LLA;LPR;MER;MGH;MON;MPA;NEZ;PED;SAG;SFE;SJA;TAH;TLA;TLI;UAX;UIZ;VIF;XAL
01/01/2018;20;6;22;35;12;19;-99;-99;-99;-99;12;16;15;20;20;31;-99;11;21;21;17;23;40;11;20;14;24;-99;19;14;14;-99;16;16;20
01/01/2018;21;7;17;21;7;19;-99;-99;-99;-99;10;13;13;17;14;23;-99;11;14;15;15;22;16;10;15;14;18;-99;13;13;13;-99;14;14;17
01/01/2018;22;7;15;15;8;17;-99;-99;-99;-99;11;9;11;14;13;17;-99;11;15;15;10;17;11;10;14;15;18;-99;15;11;12;-99;10;10;16
01/01/2018;23;5;15;14;9;13;-99;-99;-99;-99;10;10;13;6;13;17;-99;11;13;11;11;12;13;7;14;14;17;-99;12;6;8;-99;9;11;12
01/01/2018;24;6;12;6;8;14;-99;-99;-99;-99;9;4;15;8;10;20;-99;10;15;9;11;8;10;3;12;14;14;-99;9;5;10;-99;5;8;7
02/01/2018;1;4;11;6;8;11;-99;-99;-99;-99;7;2;10;11;8;13;-99;9;16;4;9;8;12;4;13;10;9;-99;8;3;10;-99;3;12;6
02/01/2018;2;2;11;5;10;9;-99;-99;-99;-99;4;2;7;7;8;28;-99;7;10;7;6;2;14;6;8;6;4;-99;8;6;9;-99;2;13;3
02/01/2018;3;2;13;7;4;6;-99;-99;-99;-99;6;2;5;2;7;31;-99;3;3;5;1;1;17;5;4;3;9;-99;6;2;7;-99;1;11;1
02/01/2018;4;2;15;9;4;4;-99;-99;-99;-99;6;2;5;2;7;31;-99;1;1;1;0;1;17;5;5;2;10;-99;4;3;13;-99;2;4;1
02/01/2018;5;1;17;13;2;1;-99;-99;-99;-99;7;2;3;2;6;27;-99;1;1;1;0;2;16;2;6;2;16;-99;6;1;10;-99;1;1;1
02/01/2018;6;1;15;5;1;1;-99;-99;-99;-99;3;2;1;1;6;26;-99;1;1;1;0;2;22;1;2;2;14;-99;2;1;1;-99;1;1;1
02/01/2018;7;1;7;4;2;1;-99;-99;-99;-99;3;2;1;1;6;26;-99;1;1;1;0;2;22;1;1;2;4;-99;1;0;1;-99;1;1;1
02/01/2018;8;1;16;5;2;1;-99;-99;-99;-99;1;2;1;1;7;27;-99;1;1;2;1;2;22;2;1;2;7;-99;1;1;0;-99;2;1;2
02/01/2018;9;2;8;11;3;2;-99;-99;-99;-99;6;3;2;2;8;29;-99;2;2;3;2;3;19;4;5;3;10;-99;5;3;3;-99;3;4;3
02/01/2018;10;3;13;32;10;7;-99;-99;-99;-99;9;7;7;8;11;44;-99;6;5;7;6;11;21;10;14;8;20;-99;10;7;5;-99;9;8;8
02/01/2018;11;6;23;46;21;16;-99;-99;-99;-99;16;15;15;19;19;51;-99;18;15;17;15;20;28;19;20;20;24;-99;25;11;9;-99;19;16;17
02/01/2018;12;13;36;45;24;32;-99;-99;-99;-99;19;28;24;32;30;52;-99;34;29;28;26;40;47;31;34;32;38;-99;40;23;19;-99;30;22;32
02/01/2018;13;22;53;56;39;50;-99;-99;-99;-99;30;52;39;46;45;55;-99;51;48;38;43;59;59;39;52;46;56;-99;55;43;34;-99;48;39;42
02/01/2018;14;28;62;57;57;67;-99;-99;-99;-99;36;64;60;64;54;65;-99;61;62;61;61;74;61;47;66;61;68;-99;64;62;48;-99;63;53;50
02/01/2018;15;30;67;64;70;70;-99;-99;-99;-99;38;68;65;68;56;68;-99;61;69;66;65;79;65;46;70;62;75;-99;68;70;57;-99;64;56;53
02/01/2018;16;23;70;67;74;72;-99;-99;-99;-99;40;71;78;70;60;76;-99;68;65;67;67;81;69;52;74;70;84;-99;64;70;62;-99;69;57;50
02/01/2018;17;24;72;69;73;70;-99;-99;-99;-99;37;74;75;75;61;68;-99;73;64;71;68;65;63;47;73;72;81;-99;60;59;56;-99;75;60;54
02/01/2018;18;27;65;63;71;58;-99;-99;-99;-99;34;68;61;70;53;53;-99;56;54;66;56;49;58;30;63;64;65;-99;56;47;52;-99;55;56;51
02/01/2018;19;6;60;45;33;43;-99;-99;-99;-99;11;43;16;38;38;45;-99;29;24;37;10;44;50;25;47;27;27;-99;51;16;22;-99;40;26;29
02/01/2018;20;8;62;23;40;25;-99;-99;-99;-99;15;25;6;26;23;47;-99;25;19;19;10;43;48;19;45;20;40;-99;47;1;14;-99;31;20;26
02/01/2018;21;7;49;19;20;20;-99;-99;-99;-99;20;15;3;13;18;39;-99;20;13;8;11;40;52;14;36;24;17;-99;36;3;5;-99;17;11;10
02/01/2018;22;2;48;14;11;3;-99;-99;-99;-99;21;18;17;14;9;42;-99;7;12;3;27;51;51;14;35;13;23;-99;4;3;2;-99;13;2;9
02/01/2018;23;1;44;13;11;14;-99;-99;-99;-99;21;7;19;8;2;44;-99;4;1;1;27;17;46;6;28;11;23;-99;12;1;1;-99;2;3;3
02/01/2018;24;1;42;10;23;14;-99;-99;-99;-99;22;5;22;4;2;38;-99;1;19;1;24;16;39;6;19;6;17;-99;19;3;1;-99;6;4;3
03/01/2018;1;2;41;11;17;6;-99;-99;-99;-99;19;3;6;6;2;43;-99;1;19;1;21;11;35;12;18;2;16;-99;10;1;3;-99;5;3;5
03/01/2018;2;2;39;16;14;1;-99;-99;-99;-99;15;3;12;4;5;38;-99;1;13;1;15;3;33;4;23;2;21;-99;12;2;4;-99;8;1;2
03/01/2018;3;2;39;8;8;1;-99;-99;-99;-99;13;3;16;4;7;35;-99;1;10;1;16;5;33;1;22;2;17;-99;10;1;12;-99;6;2;1
03/01/2018;4;1;39;3;8;1;-99;-99;-99;-99;8;3;13;2;3;34;-99;1;2;1;3;10;30;2;24;2;18;-99;6;1;2;-99;6;1;1
03/01/2018;5;1;38;1;7;1;-99;-99;-99;-99;2;3;12;1;3;34;-99;1;1;1;1;4;31;2;18;1;18;-99;13;1;1;-99;2;1;1
03/01/2018;6;1;32;1;5;1;-99;-99;-99;-99;3;3;6;1;2;33;-99;1;1;1;1;2;29;1;18;2;9;-99;4;1;1;-99;2;1;2
03/01/2018;7;1;32;1;2;1;-99;-99;-99;-99;3;3;2;1;3;32;-99;1;1;1;0;2;29;2;12;2;2;-99;5;1;1;-99;2;1;3
03/01/2018;8;1;31;1;2;1;-99;-99;-99;-99;3;3;2;1;2;32;-99;1;1;2;1;3;28;2;5;2;4;-99;7;1;1;-99;2;-99;2
03/01/2018;9;1;29;6;4;4;-99;-99;-99;-99;8;4;3;2;3;33;-99;2;2;4;3;4;26;3;6;3;14;-99;7;3;5;-99;4;3;2
03/01/2018;10;4;23;36;12;13;-99;-99;-99;-99;16;12;8;9;9;53;-99;8;8;12;11;19;34;9;15;7;29;-99;18;12;12;-99;13;9;8
03/01/2018;11;8;40;53;33;35;-99;-99;-99;-99;25;24;24;25;22;55;-99;32;17;28;26;37;50;24;31;32;47;-99;39;27;25;-99;35;20;24
03/01/2018;12;23;51;56;54;57;-99;-99;-99;-99;28;49;51;43;41;56;-99;50;38;-99;48;53;63;39;54;56;57;-99;59;43;41;-99;52;45;40
03/01/2018;13;36;56;58;58;64;-99;-99;-99;-99;31;64;55;61;54;62;-99;54;54;-99;56;63;67;44;55;60;61;-99;63;45;46;-99;55;54;48
03/01/2018;14;43;63;68;64;74;-99;-99;-99;-99;34;65;62;72;60;70;-99;63;66;-99;65;74;75;49;64;66;73;-99;67;57;53;-99;66;54;54
03/01/2018;15;32;72;79;69;80;-99;-99;-99;-99;36;71;72;80;64;77;-99;70;77;80;70;82;82;54;71;74;77;-99;79;61;56;-99;79;59;57
03/01/2018;16;54;75;87;72;88;-99;-99;-99;-99;37;76;69;85;73;80;-99;73;76;88;74;85;93;56;77;79;82;-99;91;63;56;-99;82;61;59
03/01/2018;17;52;74;85;70;93;-99;-99;-99;-99;36;73;64;77;72;81;-99;64;72;83;65;86;94;54;76;71;81;-99;87;61;56;-99;81;58;49
03/01/2018;18;36;61;74;55;77;-99;-99;-99;-99;31;57;60;59;59;69;-99;48;64;66;46;78;83;42;51;57;68;-99;71;46;44;-99;65;46;40
03/01/2018;19;13;40;63;41;51;-99;-99;-99;-99;23;41;43;42;40;55;-99;16;48;32;36;43;70;28;37;31;53;-99;51;28;25;-99;36;32;32
03/01/2018;20;11;35;61;34;36;-99;-99;-99;-99;19;36;42;26;28;43;-99;8;39;22;25;43;66;16;33;15;43;-99;35;18;23;-99;20;27;22
03/01/2018;21;9;34;34;21;23;-99;-99;-99;-99;15;27;30;19;16;34;-99;11;34;11;23;45;52;8;28;11;36;-99;31;16;17;-99;10;22;20
03/01/2018;22;14;24;21;15;18;-99;-99;-99;-99;13;22;27;10;14;24;-99;17;25;9;18;35;28;4;22;20;27;-99;13;15;9;-99;7;18;28
03/01/2018;23;18;31;6;14;11;-99;-99;-99;-99;11;12;26;8;14;23;-99;17;23;3;13;22;21;2;8;20;10;-99;11;15;2;-99;2;15;23
03/01/2018;24;14;36;8;18;8;-99;-99;-99;-99;12;3;16;2;10;29;-99;11;21;3;9;22;25;1;17;12;16;-99;15;12;2;-99;2;18;2
04/01/2018;1;6;39;5;17;3;-99;-99;-99;-99;10;3;12;1;4;39;-99;9;6;2;2;5;28;5;23;10;20;-99;9;15;1;-99;2;6;2
04/01/2018;2;1;25;6;12;1;-99;-99;-99;-99;6;3;7;1;2;38;-99;1;1;2;2;2;26;11;18;2;32;-99;9;13;2;-99;6;2;1
04/01/2018;3;1;19;6;22;2;-99;-99;-99;-99;11;3;8;1;3;37;-99;1;1;2;1;2;26;9;14;2;27;-99;15;1;1;-99;7;4;1
04/01/2018;4;1;13;9;13;1;-99;-99;-99;-99;4;2;5;1;1;36;-99;1;1;2;0;2;29;6;7;2;23;-99;13;1;0;-99;5;2;1
04/01/2018;5;1;14;7;6;1;-99;-99;-99;-99;3;2;5;1;1;33;-99;1;1;2;0;2;29;3;0;2;14;-99;10;0;0;-99;2;1;2
04/01/2018;6;1;20;3;2;1;-99;-99;-99;-99;4;3;4;1;1;32;-99;1;1;2;1;2;29;1;0;3;4;-99;6;0;1;-99;2;1;2
04/01/2018;7;1;29;1;1;1;-99;-99;-99;-99;1;3;2;1;1;33;-99;1;1;2;1;2;31;1;1;3;6;-99;4;1;1;-99;2;1;2
04/01/2018;8;1;18;2;2;2;-99;-99;-99;-99;1;3;1;1;1;32;-99;1;1;2;1;3;35;2;1;3;3;-99;4;1;1;-99;2;1;3
04/01/2018;9;1;15;9;5;4;-99;-99;-99;-99;3;3;3;2;-99;34;-99;2;2;4;2;3;27;4;5;4;16;-99;10;3;2;-99;5;3;4
04/01/2018;10;4;24;40;13;11;-99;-99;-99;-99;9;8;7;7;-99;49;-99;7;5;9;7;10;30;9;15;8;26;-99;21;7;4;-99;10;9;7
04/01/2018;11;7;-99;52;20;21;-99;-99;-99;-99;17;17;16;22;17;49;-99;18;15;19;17;28;39;19;-99;15;35;-99;37;14;12;-99;24;22;17
04/01/2018;12;13;-99;57;30;39;-99;-99;-99;-99;23;39;37;41;33;55;-99;40;34;37;35;51;60;34;-99;41;47;-99;53;30;26;-99;44;33;38
04/01/2018;13;21;-99;63;51;58;-99;-99;-99;-99;29;57;52;59;49;60;-99;51;56;57;54;64;67;44;-99;55;61;-99;68;46;46;-99;58;45;49
04/01/2018;14;31;-99;71;72;74;-99;-99;-99;-99;35;73;64;76;60;69;-99;63;73;70;66;76;71;46;-99;63;76;-99;79;58;56;-99;70;53;54
04/01/2018;15;33;73;81;82;86;-99;-99;-99;-99;39;80;78;90;71;74;-99;74;86;84;76;76;85;51;92;76;88;-99;86;70;62;-99;79;64;60
04/01/2018;16;48;79;95;81;98;-99;-99;-99;-99;40;68;88;99;78;76;-99;86;96;95;85;91;99;56;105;87;94;-99;95;74;64;-99;84;66;62
04/01/2018;17;41;85;75;79;100;-99;-99;-99;-99;39;67;90;94;82;76;-99;81;92;101;86;91;94;57;107;90;96;-99;90;67;60;-99;88;62;61
04/01/2018;18;32;79;63;54;92;-99;-99;-99;-99;36;54;69;77;74;66;-99;56;77;82;67;82;80;50;99;67;88;-99;75;48;47;-99;80;51;51
04/01/2018;19;19;57;57;42;63;-99;-99;-99;-99;21;41;43;53;54;57;-99;23;52;53;27;60;68;37;80;42;62;-99;68;21;25;-99;60;29;40
04/01/2018;20;5;35;52;26;55;-99;-99;-99;-99;20;26;41;44;38;53;-99;19;29;50;20;52;69;31;54;35;41;-99;49;22;12;-99;50;19;22
04/01/2018;21;4;24;40;27;32;-99;-99;-99;-99;17;25;35;35;22;38;-99;32;31;14;17;61;71;31;28;28;36;-99;39;17;13;-99;20;22;21
04/01/2018;22;3;25;18;21;8;-99;-99;-99;-99;16;13;18;31;21;26;-99;34;20;22;15;51;58;33;24;22;22;-99;40;4;7;-99;22;8;9
04/01/2018;23;5;24;8;14;20;-99;-99;-99;-99;13;8;21;28;19;29;-99;18;30;9;11;22;39;24;26;5;4;-99;28;3;4;-99;14;2;11
04/01/2018;24;6;23;7;23;22;-99;-99;-99;-99;11;2;15;16;7;28;-99;2;5;1;12;10;33;19;13;3;3;-99;17;6;2;-99;14;3;4
05/01/2018;1;7;29;4;24;18;-99;-99;-99;-99;11;2;9;17;8;21;-99;7;0;1;9;5;24;21;15;6;11;-99;25;5;0;-99;16;6;1
05/01/2018;2;8;34;4;14;27;-99;-99;-99;-99;9;2;9;13;13;29;-99;1;1;1;10;2;22;19;27;6;17;-99;21;6;1;-99;17;8;3
05/01/2018;3;7;39;5;15;22;-99;-99;-99;-99;12;2;14;14;21;28;-99;1;1;16;1;2;39;8;35;4;28;-99;26;8;5;-99;22;4;7
05/01/2018;4;3;40;5;17;10;-99;-99;-99;-99;17;2;19;1;14;19;-99;1;2;11;1;2;41;7;35;4;21;-99;22;6;18;-99;15;4;11
05/01/2018;5;2;33;4;17;6;-99;-99;-99;-99;16;2;16;1;8;23;-99;1;2;3;1;2;32;5;25;2;16;-99;15;9;3;-99;16;8;3
05/01/2018;6;2;28;3;8;4;-99;-99;-99;-99;15;2;7;1;7;24;-99;1;0;1;1;2;28;8;5;2;5;-99;5;3;0;-99;7;4;2
05/01/2018;7;1;30;1;2;5;-99;-99;-99;-99;7;2;1;1;6;30;-99;1;0;1;1;2;31;2;2;1;3;-99;6;1;0;-99;2;1;2
05/01/2018;8;1;29;2;2;2;-99;-99;-99;-99;5;2;1;1;8;29;-99;1;1;2;1;2;34;2;8;2;2;-99;7;1;1;-99;2;1;2
05/01/2018;9;2;33;6;5;4;-99;-99;-99;-99;13;3;3;3;9;28;-99;3;5;7;3;3;34;4;15;-99;10;-99;4;2;3;-99;7;4;3
05/01/2018;10;4;32;33;22;16;-99;-99;-99;-99;21;10;14;13;19;44;-99;12;10;25;12;22;42;16;26;13;21;-99;22;11;5;-99;18;11;9
05/01/2018;11;9;40;47;41;41;-99;-99;-99;-99;24;29;31;32;38;47;-99;30;22;39;31;41;52;29;46;29;47;-99;43;34;21;-99;39;24;21
05/01/2018;12;18;51;55;49;56;-99;-99;-99;-99;26;48;51;46;46;54;-99;45;42;45;51;57;58;38;58;46;54;-99;59;45;41;-99;51;43;37
05/01/2018;13;28;64;68;51;67;-99;-99;-99;-99;31;61;59;63;58;62;-99;62;54;57;61;66;74;43;76;61;69;-99;70;49;46;-99;60;52;52
05/01/2018;14;41;79;82;51;82;-99;-99;-99;-99;36;69;59;78;65;68;-99;75;67;70;73;77;91;53;91;77;83;-99;90;53;54;-99;74;58;62
05/01/2018;15;35;92;98;63;93;-99;-99;-99;-99;40;69;62;94;66;69;-99;78;86;80;72;90;104;57;102;86;90;-99;107;51;56;-99;86;57;72
05/01/2018;16;29;96;110;74;93;-99;-99;-99;-99;37;73;60;94;72;61;-99;73;86;94;73;98;119;56;111;82;93;-99;113;58;57;-99;89;60;68
05/01/2018;17;27;92;105;72;93;-99;-99;-99;-99;38;65;70;87;79;58;-99;69;85;97;84;92;100;56;105;77;88;-99;104;64;50;-99;86;-99;59
05/01/2018;18;39;86;69;49;88;-99;-99;-99;-99;37;52;55;72;69;69;-99;44;64;81;77;83;86;48;96;62;83;-99;80;45;39;-99;79;-99;46
05/01/2018;19;-99;54;54;34;61;-99;-99;-99;-99;27;41;36;39;45;62;-99;20;47;44;32;60;73;33;58;34;52;-99;63;28;29;-99;56;-99;41
05/01/2018;20;15;46;33;28;45;-99;-99;-99;-99;17;44;26;37;24;-99;-99;29;44;14;22;56;70;27;44;28;30;-99;38;21;24;-99;26;-99;28
05/01/2018;21;14;19;20;26;33;-99;-99;-99;-99;18;26;27;34;28;-99;-99;36;43;25;29;46;73;22;34;-99;34;-99;35;17;16;-99;17;-99;20
05/01/2018;22;9;22;24;16;35;-99;-99;-99;-99;16;15;32;31;28;-99;-99;27;39;28;19;29;64;17;30;-99;33;-99;35;14;12;-99;24;-99;13
05/01/2018;23;10;19;24;16;18;-99;-99;-99;-99;16;13;35;10;10;-99;-99;7;18;13;23;20;44;14;26;-99;37;-99;31;13;7;-99;19;-99;25
05/01/2018;24;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
06/01/2018;1;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
06/01/2018;2;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
06/01/2018;3;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
06/01/2018;4;3;18;2;26;6;-99;-99;-99;-99;10;2;21;1;5;42;-99;0;1;1;2;2;23;3;27;2;28;-99;7;3;1;-99;1;-99;2
06/01/2018;5;3;35;2;24;2;-99;-99;-99;-99;10;2;14;1;5;41;-99;0;0;1;4;2;23;9;30;1;23;-99;5;7;1;-99;1;-99;1
06/01/2018;6;3;30;3;11;1;-99;-99;-99;-99;6;3;9;1;1;41;-99;0;1;1;1;2;27;7;27;1;15;-99;2;1;1;-99;1;-99;2
06/01/2018;7;2;19;2;10;1;-99;-99;-99;-99;1;3;5;1;1;39;-99;1;1;1;1;2;26;3;14;2;8;-99;3;1;0;-99;1;-99;3
06/01/2018;8;2;18;2;3;1;-99;-99;-99;-99;2;3;3;1;2;42;-99;1;1;1;1;2;26;3;13;2;4;-99;2;1;1;-99;2;-99;3
06/01/2018;9;3;22;8;13;5;-99;-99;-99;-99;10;4;6;3;4;39;-99;2;2;3;6;4;26;6;12;3;11;-99;5;3;4;-99;5;-99;4
06/01/2018;10;6;28;38;33;13;-99;-99;-99;-99;16;15;24;8;12;53;-99;8;8;9;23;24;33;11;22;8;23;-99;18;15;15;-99;14;-99;9
06/01/2018;11;11;35;49;45;26;-99;-99;-99;-99;26;37;31;29;25;57;-99;26;21;22;39;47;46;22;34;25;41;-99;37;28;24;-99;27;-99;19
06/01/2018;12;19;50;57;54;50;-99;-99;-99;-99;31;56;46;52;38;59;-99;45;34;44;49;62;63;34;54;41;58;-99;58;42;42;-99;49;-99;39
06/01/2018;13;25;60;63;59;66;-99;-99;-99;-99;35;62;57;60;57;63;-99;57;53;67;60;69;69;39;68;58;67;-99;62;51;47;-99;55;-99;45
06/01/2018;14;31;69;73;63;80;-99;-99;-99;-99;38;63;63;67;64;71;-99;65;59;76;67;74;77;46;83;68;75;-99;66;56;52;-99;63;-99;55
06/01/2018;15;39;80;83;59;84;-99;-99;-99;-99;40;54;68;75;67;76;-99;68;63;77;69;70;80;48;87;70;76;-99;75;58;53;-99;70;-99;58
06/01/2018;16;42;76;96;54;86;-99;-99;-99;-99;39;67;63;77;69;79;-99;62;65;75;72;75;84;49;85;70;78;-99;77;56;44;-99;74;-99;59
06/01/2018;17;37;73;91;59;84;-99;-99;-99;-99;35;64;57;66;65;76;-99;52;52;70;64;69;83;47;82;57;74;-99;77;46;46;-99;71;48;47
06/01/2018;18;33;61;76;59;62;-99;-99;-99;-99;28;61;53;52;50;67;-99;39;38;47;44;61;85;36;65;47;58;-99;73;49;42;-99;53;46;44
06/01/2018;19;16;42;54;38;48;-99;-99;-99;-99;23;47;39;37;40;45;-99;16;41;23;34;48;67;24;43;29;42;-99;36;32;31;-99;33;30;39
06/01/2018;20;9;40;19;28;34;-99;-99;-99;-99;20;32;32;27;27;48;-99;9;36;21;25;35;46;11;20;18;8;-99;19;20;20;-99;23;21;24
06/01/2018;21;11;36;8;24;24;-99;-99;-99;-99;19;27;26;23;27;53;-99;9;33;24;18;33;28;15;19;13;28;-99;17;19;18;-99;21;18;20
06/01/2018;22;10;23;9;25;20;-99;-99;-99;-99;16;18;31;23;21;35;-99;14;22;17;18;30;23;13;18;12;30;-99;20;14;14;-99;22;13;20
06/01/2018;23;11;27;12;18;16;-99;-99;-99;-99;13;4;21;11;17;37;-99;14;3;12;16;19;28;8;13;6;15;-99;20;8;12;-99;12;11;10
06/01/2018;24;11;28;7;6;15;-99;-99;-99;-99;10;2;8;4;13;41;-99;11;3;10;8;8;22;2;22;6;22;-99;12;6;5;-99;3;10;2
07/01/2018;1;6;33;10;7;13;-99;-99;-99;-99;8;2;6;1;11;36;-99;18;16;9;6;2;25;2;27;7;16;-99;10;2;1;-99;4;1;4
07/01/2018;2;3;32;7;10;8;-99;-99;-99;-99;6;2;13;1;7;48;-99;3;3;4;3;7;31;1;28;4;25;-99;9;1;1;-99;2;2;3
07/01/2018;3;3;31;11;9;8;-99;-99;-99;-99;15;3;19;4;7;55;-99;1;1;2;7;5;34;1;32;5;24;-99;16;8;3;-99;2;2;2
07/01/2018;4;4;29;17;15;2;-99;-99;-99;-99;13;2;16;6;4;57;-99;1;1;1;3;2;38;1;33;3;30;-99;13;9;4;-99;2;2;1
07/01/2018;5;3;34;18;8;5;-99;-99;-99;-99;9;2;15;2;3;53;-99;1;1;1;3;2;39;1;29;3;32;-99;8;10;4;-99;2;2;1
07/01/2018;6;3;29;20;12;3;-99;-99;-99;-99;14;3;10;1;4;54;-99;1;1;1;6;2;41;2;27;2;30;-99;9;8;0;-99;3;1;1
07/01/2018;7;2;28;14;8;1;-99;-99;-99;-99;20;2;7;2;5;50;-99;1;1;1;1;2;40;1;32;2;19;-99;11;2;1;-99;2;1;1
07/01/2018;8;2;40;8;2;2;-99;-99;-99;-99;14;3;3;3;6;51;-99;1;1;2;1;2;41;2;29;2;21;-99;12;4;1;-99;2;2;2
07/01/2018;9;5;21;15;8;11;-99;-99;-99;-99;13;4;9;5;9;51;-99;4;5;6;5;6;42;6;20;4;34;-99;10;10;4;-99;5;7;6
07/01/2018;10;7;25;49;21;18;-99;-99;-99;-99;15;17;17;17;18;67;-99;15;13;13;16;22;44;18;25;16;41;-99;27;20;10;-99;16;15;17
07/01/2018;11;6;39;60;43;36;-99;-99;-99;-99;22;29;34;32;32;66;-99;31;28;30;32;42;54;34;42;30;44;-99;45;34;25;-99;32;29;29
07/01/2018;12;18;57;62;65;63;-99;-99;-99;-99;27;47;57;54;49;66;-99;52;49;51;53;67;70;52;63;50;59;-99;61;47;41;-99;58;44;48
07/01/2018;13;30;66;65;65;76;-99;-99;-99;-99;37;76;72;75;62;72;-99;65;76;67;67;77;75;51;80;73;75;-99;72;56;54;-99;70;60;64
07/01/2018;14;32;73;69;70;74;-99;-99;-99;-99;46;78;69;90;68;81;-99;74;88;66;69;82;77;54;82;74;89;-99;85;61;60;-99;68;62;80
07/01/2018;15;32;81;76;74;76;-99;-99;-99;-99;48;79;68;104;71;91;-99;81;99;76;72;89;86;60;85;84;94;-99;90;61;67;-99;72;64;87
07/01/2018;16;40;87;85;79;83;-99;-99;-99;-99;47;78;73;105;80;97;-99;94;112;86;78;94;88;63;94;87;90;-99;101;68;72;-99;79;68;88
07/01/2018;17;31;89;86;87;87;-99;-99;-99;-99;47;80;76;97;86;80;-99;95;104;93;83;107;100;66;101;87;93;-99;96;72;74;-99;87;75;78
